pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
yves raimond|christopher sutton|mark b. sandler,,interlinking music-related data on the web.,2009,,,,2006815,journals/ieeemm/RaimondSS09,3,456,5,456,5,1
pierre martin-granel|matthew roach|john s. mason,,camera motion extraction using correlation for motion-based video classification.,2001,,,,547850,conf/iwvf/Martin-GranelRM01,4,0,5,0,5,1
donald r. gentner|jonathan grudin,,design models for computer-human interfaces.,1996,,,,1893671,journals/computer/GentnerG96,3,0,5,0,0,1
mahdieh khoshniat|gordan r. stuhne|david a. steinman,,relative performance of geometric search algorithms for interpolating unstructured mesh data.,2003,,,,583203,conf/miccai/KhoshniatSS03,4,0,5,0,5,1
josé castro caldas|helder coelho,,strategic interaction in oligopolistic markets - experimenting with real and artificial agents.,1992,,,,573024,conf/maamaw/CaldasC92,1,0,5,0,5,1
krishanthmohan ratnam|mohan gurusamy|luying zhou,,rerouting schemes with inter-layer backup resource sharing for differentiated survivability in ip-over-wdm optical networks.,2006,,,,566245,conf/lcn/RatnamGZ06,3,0,51,0,51,1
kambiz azarian|christopher lott|donna ghosh|rashid ahmed attar,,imbalance compensation in heterogeneous do networks.,2010,,,,879799,conf/pimrc/AzarianLGA10,1,0,30,0,30,1
noriaki kawamae|ryuichiro higashinaka,,trend detection model.,2010,,,,789983,conf/www/KawamaeH10,1,0,5,0,5,1
oscar hernandez|ramachandra c. nanjegowda|barbara m. chapman|van bui|richard kufrin,,open source software support for the openmp runtime api for profiling.,2009,,,,407913,conf/icppw/HernandezNCBK09,1,0,136,0,136,1
azzedine boukerche|yonglin ren|samer samarah,,a secure key management scheme for wireless and mobile ad hoc networks using frequency-based approach: proof and correctness.,2008,,,,832400,conf/globecom/BoukercheRS08,1,0,5,0,5,1
rong jin|rong yan|jian zhang 0003|alexander g. hauptmann,,a faster iterative scaling algorithm for conditional exponential model.,2003,,,,392907,conf/icml/JinYZH03,1,0,1005,0,1005,1
kazuhiko sagara,,special section on brain communication.,2008,,,,2014582,journals/ieicet/Sagara08,3,34,5,34,5,1
miguel a. padron|josé p. suárez|angel plaza,,refinement based on longest-edge and self-similar four-triangle partitions.,2007,,,,2324815,journals/mcs/PadronSP07,1,6,5,6,5,1
shurjeel wyne|nicolai czink|johan karedal|peter almers|fredrik tufvesson|andreas f. molisch,,a cluster-based analysis of outdoor-to-indoor office mimo measurements at 5.2 ghz.,2006,,,,806699,conf/vtc/WyneCKATM06,1,0,5,0,0,1
guosheng zhang|yifu wang,,minimal wave speed in a diffusive epidemic model with temporal delay.,2007,,,,2306150,journals/amc/ZhangW07,3,0,5,0,0,1
pablo chico de guzmán|manuel carro|manuel v. hermenegildo,,a tabling implementation based on variables with multiple bindings.,2009,,,,385890,conf/iclp/GuzmanCH09,1,0,5,0,5,1
h. saberi najafi|m. shams solary,,"computational algorithms for computing the inverse of a square matrix, quasi-inverse of a non-square matrix and block matrices.",2006,,,,2305410,journals/amc/NajafiS06,3,27,5,27,0,1
yu su|xiaofei liao|hai jin|tim bell,,data hiding in virtual machine disk images.,2010,,,,10784,conf/IEEEcit/SuLJB10,1,0,296,0,296,1
peter simon sapaty,,providing spatial integrity for distributed unmanned systems.,2009,,,,370136,conf/icinco/Sapaty09a,1,0,5,0,5,1
lukasz masko|marek tudruj|gregory mounie|denis trystram,,comparison of program task scheduling algorithms for dynamic smp clusters with communication on the fly.,2009,,,,641794,conf/ppam/MaskoTMT09,1,0,5,0,5,1
maría pinto|dora sales,,insights into translation students' information literacy using the il-humass survey.,2010,,,,2388102,journals/jis/PintoS10,3,569,5,569,5,1
samrat bhattacharjee|kenneth l. calvert|ellen w. zegura,,reasoning about active network protocols.,1998,,,,399505,conf/icnp/BhattacharjeeCZ98,1,0,2558,0,2558,1
shirley ann becker,,web accessibility for older adults.,2004,,,,181478,conf/dgo/Becker04,1,0,1647,0,1647,1
suchendra m. bhandarkar|ananda s. chowdhury|ernest w. tollner|jack c. yu|e. w. ritter|amit konar,,surface reconstruction for computer vision-based craniofacial surgery.,2005,,,,761616,conf/wacv/BhandarkarCTYRK05,1,0,2076,0,2076,1
g. mcc. haworth,,chess endgame news.,2006,,,,2356408,journals/icga/Haworth06,1,609,1258,609,1258,1
barry w. boehm|kevin j. sullivan,,software economics: status and prospects.,1999,,,,2046965,journals/infsof/BoehmS99,6,158,5,158,5,1
stephen j. bailey|brian tierney|daniel k. gunter,,scalable analysis of distributed workflow traces.,2005,,,,627050,conf/pdpta/BaileyTG05,1,0,610,0,610,1
alan dent|keith hanna,,reasoning about array structure using a dependently typed logic.,1993,,,,102153,conf/chdl/DentH93,4,0,2673,0,2673,1
maría del mar rueda garcía|antonio arcos cebrián|e. artés rodríguez,,improvement on estimating quantiles in finite population using indirect methods of estimation.,1997,,,,438848,conf/ida/GarciaCR97,1,0,1850,0,1850,1
thomas mensink|jakob j. verbeek|bert kappen,,ep for efficient stochastic control with obstacles.,2010,,,,195750,conf/ecai/MensinkVK10,1,0,589,0,589,1
rekha menon|allen b. mackenzie|r. michael buehrer|jeffrey h. reed,,joint power control and waveform adaptation for distributed networks.,2007,,,,831256,conf/globecom/MenonMBR07,4,0,5,0,5,1
michael jones|eric mercer|tonglaga bao|rahul kumar|peter lamborn,,benchmarking explicit state parallel model checkers.,2003,,,,1973229,journals/entcs/JonesMBKL03,3,126,5,126,5,1
katayoun farrahi|daniel gatica-perez,,learning and predicting multimodal daily life patterns from cell phones.,2009,,,,392178,conf/icmi/FarrahiG09,1,0,535,0,535,1
m. sudhakar|ramachandruni venkata kamala|m. b. srinivas,,"a unified, reconfigurable architecture for montgomery multiplication in finite fields gf(p) and gf(2^n).",2007,,,,756458,conf/vlsid/SudhakarKS07,1,0,5,0,5,1
philipp walter|nadine blinn|michael schlicker|oliver thomas,,it-gestützte wertschöpfungspartnerschaften zur integration von produktion und dienstleistung im maschinen- und anlagenbau.,2009,,,,776027,conf/wirtschaftsinformatik/WalterBST09,1,0,1686,0,1686,1
yao-ting huang|kui zhang|ting chen|kun-mao chao,,approximation algorithms for the selection of robust tag snps.,2004,,,,761210,conf/wabi/HuangZCC04,3,0,390,0,390,1
z. s. peng|h. f. ting,,an efficient reduction from constrained to unconstrained maximum agreement subtree.,2005,,,,761294,conf/wabi/PengT05,1,0,390,0,390,1
anne cutler|martin cooke|maria luisa garcia lecumberri,,preface.,2010,,,,2301687,journals/speech/CutlerCL10,1,311,5,311,5,1
yu-jie zheng|zhibo guo|jian yang|xiaojun wu|jing-yu yang,,dlda/qr: a robust direct lda algorithm for face recognition and its theoretical foundation.,2007,,,,618297,conf/pakdd/ZhengGYWY07,1,0,992,0,992,1
roman rosipal|mark girolami,,an expectation-maximization approach to nonlinear component analysis.,2001,,,,2162560,journals/neco/RosipalG01,3,246,5,246,5,1
william y. c. chen|qing-hu hou,,factors of the gaussian coefficients.,2006,,,,1949078,journals/dm/ChenH06,3,68,5,68,5,1
r. venky|ulka shrotri|aniket kulkarni|prasad bokil,,statemate to scade model translation.,2008,,,,873567,conf/indiaSE/VenkySKB08,1,0,1933,0,1933,1
ken prepin|arnaud revel,,human-machine interaction as a model of machine-machine interaction: how to make machines interact as humans do.,2007,,,,1832574,journals/ar/PrepinR07,1,139,5,139,0,1
g. v. krishna reddy|r. anitha,,markovian bulk service queue with delayed vacations.,1998,,,,1902243,journals/cor/ReddyA98,6,0,5,0,5,1
jörg müller|marc jentsch|christian kray|antonio krüger,,exploring factors that influence the combined use of mobile devices and public displays for pedestrian navigation.,2008,,,,803279,conf/nordichi/MullerJKK08,1,0,821,0,821,1
greg g. slabaugh|huong quynh dinh|gozde b. unal,,a variational approach to the evolution of radial basis functions for image segmentation.,2007,,,,152580,conf/cvpr/SlabaughDU07,1,0,1235,0,1235,1
serguei a. mokhov|stephen sinclair|ian clément|dimitrios nicolacopoulos,,the modular audio recognition framework (marf) and its applications: scientific and software engineering notes,2009,,,,1919612,journals/corr/abs-0905-1235,3,5,5,5,5,1
wei ding 0003|tomasz f. stepinski|lourenço p. c. bandeira|ricardo vilalta|youxi wu|zhenyu lu|tianyu cao,,automatic detection of craters in planetary images: an embedded framework using feature selection and boosting.,2010,,,,113788,conf/cikm/DingSBVWLC10,1,0,117,0,117,1
ming jiang 0002|thierry lestable|youngkwon cho,,uplink multi-user mimo ofdm enhancement using genetically improved turbo receiver.,2007,,,,805236,conf/vtc/JiangLC07,1,0,76,0,76,1
zhe li|matthias schulte-austum|martin neschen,,fast logo detection and recognition in document images.,2010,,,,413279,conf/icpr/LiSN10,1,0,89,0,89,1
rao m. kotamarti|michael hahsler|douglas raiford|monnie mcgee|margaret h. dunham,,analyzing taxonomic classification using extensible markov models.,2010,,,,1846979,journals/bioinformatics/KotamartiHRMD10,6,0,5,0,0,1
kenji okuma|ali taleghani|nando de freitas|james j. little|david g. lowe,,a boosted particle filter: multitarget detection and tracking.,2004,,,,198332,conf/eccv/OkumaTFLL04,1,0,377,0,377,1
isabella schoeman|andries petrus engelbrecht,,effect of particle initialization on the performance of particle swarm niching algorithms.,2010,,,,50373,conf/antsw/SchoemanE10,1,0,2072,0,2072,1
katarzyna keahey|domenico laforenza|alexander reinefeld|pierluigi ritrovato|douglas thain|nancy wilkins-diehr,,"grid, cluster and cloud computing.",2010,,,,231444,conf/europar/KeaheyLRRTW10,1,0,2677,0,2677,1
r. k. mohanty|noopur khosla,,a third-order-accurate variable-mesh tage iterative method for the numerical solution of two-point non-linear singular boundary value problems.,2005,,,,2024418,journals/ijcm/MohantyK05,6,398,5,398,5,1
ioannis riakiotakis|florina m. ciorba|theodore andronikos|george k. papakonstantinou,,self-adapting scheduling for tasks with dependencies in stochastic environments.,2006,,,,118632,conf/cluster/RiakiotakisCAP06,1,0,211,0,211,1
diego b. haddad|mariane r. petraglia|paulo b. batalheiro,,on iir filters and convergence acceleration for convolutive blind source separation.,2009,,,,439080,conf/ida/HaddadPB09,4,0,2075,0,2075,1
avraham leff|james t. rayfield,,programming models and synchronization techniques for disconnected business applications.,2006,,,,1811395,journals/ac/LeffR06,3,562,5,562,5,1
yuhua luo|david sánchez|antonio bennasar|juan fornés|juan carlos serra|juan manuel huéscar,,visualization for cooperative architecture design systems.,2002,,,,540127,conf/iv/LuoSBFSH02,1,0,5,0,5,1
haibin lu|sartaj sahni,,enhanced interval trees for dynamic ip router-tables.,2004,,,,2228762,journals/tc/LuS04a,3,103,5,103,5,1
vasco brattka|arno pauly,,computation with advice,2010,,,,1926012,journals/corr/abs-1006-0395,4,0,2226,0,2226,1
robert m. burton|william g. faris,,reliable evaluation of neural networks.,1991,,,,2165831,journals/nn/BurtonF91,3,38,5,38,5,1
xin dong 0002|michael j. wozny,,a method for generating volumetric features from surface features.,1991,,,,709641,conf/sma/DongW91,1,0,707,0,707,1
jeff adams|ranjit abbadasari|ravi mukkamala,,ez-park: an innovative secure m-commerce application.,2004,,,,148677,conf/csreaSAM/AdamsAM04,1,0,2063,0,2063,1
e. guérin|eric tosan|atilla baskurt,,fractal coding of shapes based on a projected ifs model.,2000,,,,372374,conf/icip/GuerinTB00,1,0,365,0,365,1
jeffrey heer|michael bostock,,crowdsourcing graphical perception: using mechanical turk to assess visualization design.,2010,,,,107949,conf/chi/HeerB10,1,0,387,0,387,1
mauro berdondini|massimo neri|stefano cioni|giovanni emanuele corazza,,adaptive fractional predistortion techniques for satellite systems based on neural networks and tables.,2007,,,,805549,conf/vtc/BerdondiniNCC07,1,0,367,0,367,1
celia c. bojarczuk|heitor s. lopes|alex alves freitas|edson l. michalkiewicz,,a constrained-syntax genetic programming system for discovering classification rules: application to medical data sets.,2004,,,,1835352,journals/artmed/BojarczukLFM04,3,321,5,321,5,1
jay e. israel|theodore a. linden,,authentication in office system internetworks.,1983,,,,2273989,journals/tois/IsraelL83,3,260,5,260,5,1
xiaoxiao bai|qinyu zhang|masatake akutagawa|hirofumi nagashino|yohsuke kinouchi|fumio shichijo|shinji nagahiro,,multiple dipole sources identification from an eeg topography using information criteria.,2002,,,,872168,conf/icarcv/BaiZANKSN02,3,0,5,0,5,1
nitesh saxena|gene tsudik|jeong hyun yi,,efficient node admission for short-lived mobile ad hoc networks.,2005,,,,399683,conf/icnp/SaxenaTY05,1,0,2558,0,2558,1
worapan kusakunniran|qiang wu|hongdong li|jian zhang 0002,,automatic gait recognition using weighted binary pattern on video.,2009,,,,72111,conf/avss/KusakunniranWLZ09,1,0,1894,0,1894,1
paul m. fitzpatrick|giorgio metta|lorenzo natale,,towards long-lived robot genes.,2008,,,,2193591,journals/ras/FitzpatrickMN08,3,217,2085,217,2085,1
gregory crane|alison babeu|david bamman,,escience and the humanities.,2007,,,,2118348,journals/jodl/CraneBB07,3,207,5,207,5,1
bartosz balis|marian bubak|wlodzimierz funika|tomasz szepieniec|roland wismüller|marcin radecki,,monitoring grid applications with grid-enabled omis monitor.,2003,,,,192879,conf/eagc/BalisBFSWR03,1,0,5,0,5,1
xiang li|norbert oertel|andreas hutter|andré kaup,,laplace distribution based lagrangian rate distortion optimization for hybrid video coding.,2009,,,,2247943,journals/tcsv/LiOHK09,3,226,5,226,5,1
matei vinatoru|eugen iancu,,fault detection of the actuator blocking - experimental results in robot control structures.,2006,,,,369500,conf/icinco/VinatoruI06,1,0,2684,0,2684,1
christos fragos|maria karyda|evangelos a. kiountouzis,,using the lens of circuits of power in information systems security management.,2007,,,,739815,conf/trustbus/FragosKK07,3,0,2129,0,2129,1
j. javier samper|vicente r. tomás lópez|eduardo carrillo|rogério patricio chagas do nascimento|juan josé martínez,,"integrating ontologies visualization with the edition of profiles in semantic web services: ""ontoservice"".",2006,,,,456191,conf/iiwas/SamperTCNM06,1,0,5,0,5,1
desheng liu|zhiru xu|wei wang|lei wang,,prediction of coal mine safety level based on lssvm.,2010,,,,909523,conf/mvhi/LiuXWW10,1,0,672,0,672,1
daniel a. reed|luiz de rose|mario pantano|jeffrey s. vetter,,performance issues in parallel processing systems.,2000,,,,162517,conf/dagstuhl/ReedDPV00,1,0,1570,0,1570,1
younes fadil|satoru mega|arata horie|kuniaki uehara,,mixed reality cooking support system using content-free recipe selection.,2006,,,,513382,conf/ism/FadilMHU06,3,0,5,0,0,1
josé palazzo m. de oliveira|mariano nicolao|nina edelweiss,,conceptual workflow modelling for remote courses.,1998,,,,448905,conf/ifip3/OliveiraNE98,1,0,2261,0,2261,1
dan r. olsen,,mike: the menu interaction kontrol environment.,1986,,,,2272854,journals/tog/Olsen86,3,3,5,3,0,1
hidayet ozgur sanli|hasan çam,,joint coverage scheduling and identity management for multiple-target tracking in wireless sensor networks.,2008,,,,831894,conf/globecom/SanliC08,1,0,180,0,180,1
bogdan smolka|rastislav lukac|andrzej chydzinski|kostas n. plataniotis|konrad w. wojciechowski,,fast adaptive similarity based impulsive noise reduction filter.,2003,,,,2196246,journals/rti/SmolkaLCPW03,3,279,5,279,0,1
wolfgang johannsen|winfried lamersdorf|kurt reinhardt|joachim w. schmidt,,the dures project: extending datbases into an open system architecture.,1988,,,,206829,conf/edbt/JohannsenLRS88,1,0,5,0,5,1
saikat guha|chi-kin chau|prithwish basu,,green wave: latency and capacity-efficient sleep scheduling for wireless networks.,2010,,,,475857,conf/infocom/GuhaCB10,1,0,453,0,453,1
jan martin jansen|rinus plasmeijer|pieter w. m. koopman|peter achten,,embedding a web-based workflow management system in a functional language.,2010,,,,914626,conf/ldta/JansenPKA10,1,0,2094,0,2094,1
li dong|xinguo yu|liyuan li|jerry kah eng hoe,,fusion and self-adaptation of color and gradient based models for object detection and localization in applications of service robots.,2010,,,,914423,conf/socrob/DongYLH10,1,0,2097,0,2097,1
antoine gagneux|hubert emptoz,,web site: a structured document.,2003,,,,345250,conf/icdar/GagneuxE03,1,0,943,0,943,1
marco di renzo|laura imbriglio|fabio graziosi|fortunato santucci,,second-order statistics of amplify-and-forward multi-hop wireless networks: a framework for computing the end-to-end snr auto-correlation function over log-normal shadowing channels.,2009,,,,907563,conf/icumt/RenzoIGS09,1,0,5,0,5,1
james laird,,a calculus of coroutines.,2004,,,,315015,conf/icalp/Laird04,1,0,1254,0,1254,1
yaniv gur|nir a. sochen,,non-abelian invariant feature detection.,2008,,,,412029,conf/icpr/GurS08,3,0,89,0,89,1
hamid r. sheikh|alan c. bovik|gustavo de veciana,,an information fidelity criterion for image quality assessment using natural scene statistics.,2005,,,,2252534,journals/tip/SheikhBV05,3,25,5,25,5,1
lianxing jia|wang lin|xuan guomin|xing xiaoping|zhu yinghao|shan weifeng,,the design and realization of the 3d visualization system based on hla.,2004,,,,714303,conf/snpd/LianxingLGXYW04,1,0,42,0,42,1
ido iurgel|rogério e. da silva|pedro r. ribeiro|abel b. soares|manuel filipe dos santos,,creactor - an authoring framework for virtual actors.,2009,,,,541474,conf/iva/IurgelSRSS09,1,0,5,0,5,1
adam anthony|marie desjardins,,data clustering with a relational push-pull model.,2007,,,,354863,conf/icdm/Anthonyd07,1,0,674,0,674,1
mónica pinto|ruzanna chitchyan|awais rashid|ana moreira|joão araújo|paul c. clements|elisa l. a. baniassad|bedir tekinerdogan,,early aspects at icse 2008: workshop on aspect-oriented requirements engineering and architecture design.,2008,,,,429037,conf/icse/PintoCRMACBT08,1,0,594,0,594,1
luís c. lamb|josé palazzo m. de oliveira,,editorial.,2006,,,,2194783,journals/rita/LambO06,3,715,5,715,5,1
nico bayer|david hock|andreas roos|matthias siebert|bangnan xu|veselin rakocevic|joachim habermann,,"voip performance in ""meshbed"" - a wireless mesh networks testbed.",2008,,,,808363,conf/vtc/BayerHRSXRH08,1,0,367,0,367,1
consolee mbarushimana|alireza shahrabi,,tsla: a qos-aware on-demand routing protocol for mobile ad hoc networks.,2008,,,,31323,conf/adhoc-now/MbarushimanaS08,4,0,491,0,491,1
joão rogério caldas pinto|pedro vieira|mário ramalho|m. mengucci|pedro pina|fernando muge,,ancient music recovery for digital libraries.,2000,,,,216477,conf/ercimdl/PintoVRMPM00,1,0,2105,0,2105,1
antonio j. plaza,,parallel processing of remotely sensed hyperspectral imagery: full-pixel versus mixed-pixel classification.,2008,,,,1899535,journals/concurrency/Plaza08,3,352,5,352,0,1
green computers.,,stephan w. eder,2009,,,,2386622,journals/bise/Eder09,3,471,5,471,0,1
sheng-wen shih|yi-ping hung|wei-song lin,,calibration of an active binocular head.,1998,,,,2287284,journals/tsmc/ShihHL98,3,197,5,197,5,1
alistair g. sutcliffe|mark ennis|s. j. watkinson,,empirical studies of end-user information searching.,2000,,,,2083619,journals/jasis/SutcliffeEW00,3,362,5,362,0,1
christie i. ezeife|timothy e. ohanekwu,,the use of smart tokens in cleaning integrated warehouse data.,2005,,,,2386722,journals/jdwm/EzeifeO05,1,707,1498,707,1498,1
thomas r. gruber|catherine baudin|john h. boose|jay webber,,design rationale capture as knowledge acquisition.,1991,,,,392810,conf/icml/GruberBBW91,1,0,2110,0,2110,1
michalis d. galanis|grigoris dimitroulakos|constantinos e. goutis,,mapping dsp applications on processor/coarse-grain reconfigurable array architectures.,2006,,,,504689,conf/iscas/GalanisDG06,1,0,748,0,748,1
juha koivisto|juhani malka|james reilly 0002,,object-oriented implementation of telecommunication software using the otso environment.,1992,,,,470205,conf/indc/KoivistoMR92,1,0,2693,0,2693,1
ning zhang|yuan zhang|jie tang,,a tag recommendation system for folksonomy.,2009,,,,113609,conf/cikm/ZhangZT09,1,0,2694,0,2694,1
yung-tsung hou|chia-mei chen|bingchiang jeng,,a key predistribution scheme for wireless sensor networks using the small-world concept.,2007,,,,825727,conf/nbis/HouCJ07,1,0,785,0,785,1
g. w. hill,,acm algorithm 396: student's t-quantiles.,1970,,,,1855304,journals/cacm/Hill70b,3,57,5,57,0,1
taisir eldos,,a new migration model for distributed genetic algorithms.,2006,,,,142613,conf/csc/Eldos06,1,0,1712,0,1712,1
prakash p. gajjar|manjunath v. joshi,,new learning based super-resolution: use of dwt and igmrf prior.,2010,,,,2253958,journals/tip/GajjarJ10,3,25,5,25,5,1
george teodoro|rafael sachetto oliveira|olcay sertel|metin n. gurcan|wagner meira jr.|ümit v. çatalyürek|renato ferreira,,coordinating the use of gpu and cpu for improving performance of compute intensive applications.,2009,,,,119026,conf/cluster/TeodoroOSGMCF09,1,0,211,0,211,1
sampalli srinivas|nripendra n. biswas,,design and analysis of a generalized architecture for reconfigurable m-ary tree structures.,1992,,,,2230146,journals/tc/SrinivasB92,1,103,51,103,51,1
henrik gustavsson|brian lings,,case-tool interchange of design transformations.,2001,,,,80270,conf/bncod/GustavssonL01,1,0,2183,0,2183,1
inbok lee|yoan j. pinzon,,a simple algorithm for finding exact common repeats.,2007,,,,2009318,journals/ieicet/LeeP07b,3,34,5,34,0,1
helmut pottmann|thomas randrup,,rotational and helical surface approximation for reverse engineering.,1998,,,,1897271,journals/computing/PottmannR98,3,0,5,0,5,1
daniele piazza|john kountouriotis|michele d'amico|kapil r. dandekar,,a technique for antenna configuration selection for reconfigurable circular patch arrays.,2009,,,,2354219,journals/twc/PiazzaKdD09,3,162,615,162,615,1
dirk henrici|jochen müller 0002,,data security in service-oriented architectures.,2005,,,,180076,conf/dfn/HenriciM05,1,0,5,0,5,1
ari ahtiainen|s. alfonzetti|v. chari|mats daniels|michel diaz|alberto faro|hans a. hansson|guy juanole|ulla karjalainen|gesualdo le moli|juhani malka|sergio palazzo|orlando pereda,,an approach for evaluating formal description techniques.,1985,,,,649873,conf/pstv/AhtiainenACDDFHJKMMPP85,1,0,1765,0,1765,1
markus stolpmann|dieter roller 0002,,sketching editor for engineering design.,1993,,,,282206,conf/hci/StolpmannR93,1,0,636,0,636,1
sten agerholm,,mechanizing program verification in hol.,1991,,,,737738,conf/tphol/Agerholm91,4,0,1133,0,1133,1
yair weiss|shimon edelman|manfred fahle,,models of perceptual learning in vernier hyperacuity.,1993,,,,2163318,journals/neco/WeissEF93,3,246,5,246,5,1
chanchal kumar roy|james r. cordy,,nicad: accurate detection of near-miss intentional clones using flexible pretty-printing and code normalization.,2008,,,,546569,conf/iwpc/RoyC08a,1,0,398,0,398,1
shaoquan jiang|zongduo dai|kyoki imamura,,"linear complexity of a sequence obtained from a periodic sequence by either substituting, inserting, or deleting kappa; symbols within one period.",2000,,,,2257776,journals/tit/JiangDI00,3,2,5,2,5,1
manal helal|lenore r. mullin|john potter|vitali sintchenko,,search space reduction technique for distributed multiple sequence alignment.,2009,,,,609592,conf/npc/HelalMPS09,1,0,528,0,528,1
isabelle guyon|amir saffari|gideon dror|gavin c. cawley,,agnostic learning vs. prior knowledge challenge.,2007,,,,462548,conf/ijcnn/GuyonSDC07,1,0,80,0,80,1
fen zhou|miklós molnár|bernard cousin,,light-hierarchy: the optimal structure for multicast routing in wdm mesh networks,2010,,,,1929708,journals/corr/abs-1012-0017,3,5,5,5,5,1
jordi cortadella|alex kondratyev|luciano lavagno|kelvin lwin|christos p. sotiriou,,from synchronous to asynchronous: an automatic approach.,2004,,,,166752,conf/date/CortadellaKLLS04,4,0,111,0,111,1
j. b. gou|y. x. chu|h. wu|z. x. li,,geometric formulation of orientation tolerances.,1998,,,,415700,conf/icra/GouCWL98,1,0,5,0,0,1
s. chowdhury|j. s. barkatullah,,reliable sizing of power networks in vlsi circuits.,1992,,,,1861541,journals/cad/ChowdhuryB92,3,291,5,291,5,1
maria estrella sousa vieira|andrés suárez-gonzález|manuel fernández-veiga|cándido lópez-garcía|raúl fernando rodríguez rubio,,a highly efficient m/g/infinity generator of self-similar traces.,2006,,,,784834,conf/wsc/Sousa-VieiraSFLR06,1,0,5,0,0,1
luya li|william a. gruver|qixian zhang|weihai chen,,real-time control of redundant robots subject to multiple criteria.,1998,,,,416848,conf/icra/LiGZC98,1,0,5,0,5,1
dieter roller 0002|hans hagen,,cad.,1993,,,,162551,conf/dagstuhl/RollerH93,1,0,2700,0,2700,1
hazim kemal ekenel|lorant szasz-toth|rainer stiefelhagen,,open-set face recognition-based visitor interface system.,2009,,,,435522,conf/icvs/EkenelSS09,1,0,2701,0,2701,1
sandra m. richardson|james f. courtney|john d. haynes,,theoretical principles for knowledge management system design: application to pediatric bipolar disorder.,2006,,,,1960824,journals/dss/RichardsonCH06,1,72,5,72,5,1
sudarsanan nesamony|madhan karky vairamuthu|maria e. orlowska|shazia wasim sadiq,,on sensor network segmentation for urban water distribution monitoring.,2006,,,,56362,conf/apweb/NesamonyVOS06,4,0,24,0,24,1
fábio d'agostini|sirlesio carboni júnior|maria cristina felippetto de castro|fernando comparsi de castro,,frequency domain concurrent channel equalization for multicarrier systems.,2007,,,,2086909,journals/jbcs/DAgostiniJCC07,3,370,5,370,0,1
ha trung phan|doan b. hoang|bushar yousef,,performance analysis of the ficc-diffserv architecture.,2005,,,,565568,conf/lcn/PhanHY05,1,0,51,0,51,1
ioannis papaefstathiou|stylianos perissakis|theofanis orphanoudakis|nikos a. nikolaou|george kornaros|nicholas zervos|george e. konstantoulakis|dionisios n. pnevmatikatos|kyriakos vlachos,,pro3: a hybrid npu architecture.,2004,,,,2145319,journals/micro/PapaefstathiouPONKZKPV04,1,0,5,0,5,1
sávio b. rodrigues|denise sato yamashita,,an exact algorithm for minimizing resource availability costs in project scheduling.,2010,,,,2330781,journals/eor/RodriguesY10,3,63,5,63,5,1
g. brière|mohan l. chaudhry,,computational analysis of single-server bulk-arrival queues mx/g/1.,1988,,,,1900684,journals/cor/BriereC88,6,66,5,66,5,1
william lehr|donna calhoun|robert jones|andrzej lewandowski|roy overstreet,,model sensitivity analysis in environmental emergency management: a case study in oil spill modeling.,1994,,,,782967,conf/wsc/LehrCJLO94,1,0,720,0,720,1
hsin-hao lai|gerard j. chang|ko-wei lih,,on fully orientability of 2-degenerate graphs.,2008,,,,2058446,journals/ipl/LaiCL08,3,95,5,95,0,1
chauã c. queirolo|luciano silva|olga regina pereira bellon|mauricio pamplona segundo,,3d face recognition using simulated annealing and the surface interpenetration measure.,2010,,,,2174822,journals/pami/QueiroloSBS10,3,326,5,326,5,1
james r. sidbury|richard m. plishka|john beidler,,case and the undergraduate curriculum.,1989,,,,692497,conf/sigcse/SidburyPB89,1,0,574,0,574,1
j. i. mccormack|terry a. halpin|peter r. ritson,,automated mapping of conceptual schemas to relational schemas,1993,,,,87587,conf/caise/McCormackHR93,1,0,1264,0,1264,1
yohei hasegawa|shohei abe|shunsuke kurotaki|vu manh tuan|naohiro katsura|takuro nakamura|takashi nishimura|hideharu amano,,performance and power analysis of time-multiplexed execution on dynamically reconfigurable processor.,2006,,,,484771,conf/ipps/HasegawaAKTKNNA06,1,0,5,0,0,1
mandayam t. raghunath|nishkam ravi|marcel-catalin rosu|chandra narayanaswami,,inverted browser: a novel approach towards display symbiosis.,2006,,,,631121,conf/percom/RaghunathRNR06,1,0,468,0,468,1
matías alvarado|leonid cheremetov|francisco j. cantu,,preface.,2004,,,,1978381,journals/eswa/AlvaradoCC04,3,30,5,30,0,1
dimitrios apostolopoulos|michael d. wagner|benjamin shamah|liam pedersen|kimberly j. shillcutt|william whittaker,,technology and field demonstration of robotic search for antarctic meteorites.,2000,,,,2040201,journals/ijrr/ApostolopoulosWSPSW00,3,120,5,120,0,1
hui han|wenyuan wang|binghuan mao,,borderline-smote: a new over-sampling method in imbalanced data sets learning.,2005,,,,366723,conf/icic/HanWM05,1,0,5,0,5,1
heidi c. dreyer|ottar bakås|erlend alfnes|jan ola strandhagen|maria kollberg,,global supply chain control.,2007,,,,451027,conf/ifip5-7/DreyerBASK07,4,0,2138,0,2138,1
ronan billon|alexis nédélec|jacques tisseau,,gesture recognition in flow in the context of virtual theater.,2008,,,,541346,conf/iva/BillonNT08,1,0,5,0,5,1
jean-pierre dedieu|mike shub,,multihomogeneous newton methods.,2000,,,,2148957,journals/moc/DedieuS00,3,597,5,597,0,1
