pauthor,ptitle,pyear,pid,pkey,journal,journalfull,booktitle,booktitlefull,journal_abbreviation,ptype
andreas spillner|alexander wolff,untangling a planar graph,2007,1912497,journals/corr/abs-0709-0170,corr,international journal of wireless information networks,,,,inproceedings
yasuhisa okazaki|xiang yang feng|masayoshi okamoto|hiroki kondo,a java based on-line handwriting interface for an intelligent algebraic calculation tutoring system.,2002,337521,conf/icce/OkazakiFOK02,,,,,,inproceedings
berta sandberg|sung ha kang|tony f. chan,unsupervised multiphase segmentation: a phase balancing model.,2010,2253866,journals/tip/SandbergKC10,ieee transactions on image processing,acm transactions on reconfigurable technology and systems,,,,inproceedings
francisco bernardo|ramón agustí|jordi pérez-romero|oriol sallent,temporal and spatial spectrum assignment in next generation ofdma networks through reinforcement learning.,2009,808640,conf/vtc/BernardoAPS09,,,,,,inproceedings
jianping fan|fuxi gan,motion estimation based on global and local uncompensability analysis.,1997,2251408,journals/tip/FanG97,ieee transactions on image processing,acm transactions on reconfigurable technology and systems,,,,article
tak wah lam|fung ling yue,optimal edge ranking of trees in linear time.,2001,1823910,journals/algorithmica/LamY01,,,,,,article
virginia vassilevska williams,faster replacement paths,2010,1926953,journals/corr/abs-1007-2216,corr,international journal of wireless information networks,,,,article
harold j. drabkin|christopher hollenbeck|david p. hill|judith a. blake,ontological visualization of protein-protein interactions.,2005,1847712,journals/bmcbi/DrabkinHHB05,bmc bioinformatics,international journal of intelligent information and database systems (ijiids),,,,article
geoff busby,day and assessment training technology centres.,1994,338142,conf/icchp/Busby94,,,,,,phdthesis
nathalie mitton|eric fleury|isabelle guérin lassous|sébastien tixeuil,self-stabilization in self-organized multihop wireless networks.,2005,349636,conf/icdcsw/MittonFLT05,,,icdcs workshops,international agent technology conference,,inproceedings
ulrich höhle|tomasz kubiak,a note on hausdorff separation in l-top.,2008,1991546,journals/fss/HohleK08,fuzzy sets and systems,international journal of services and standards,,,,article
gregory goth,betting on ideas.,2009,1860488,journals/cacm/Goth09,,,,,,article
charles j. swift,compiling connectives.,1960,1858946,journals/cacm/Swift60,commun. acm,tapos   theory and practice of object systems,,,,article
carole frindel|marc c. robini|joël schaerer|pierre croisille|yue-min zhu,cardiac fibre trace clustering for the interpretation of the human heart architecture.,2009,241086,conf/fimh/FrindelRSCZ09,,,,,,inproceedings
nuno lopes|carlos baquero,implementing range queries with a decentralized balanced tree over distributed hash tables.,2007,825739,conf/nbis/LopesB07,,,nbis,protocol specification,,inproceedings
chittaranjan a. mandal|p. p. chakrabarti|sujoy ghose,a design space exploration scheme for data-path synthesis.,1999,2290651,journals/tvlsi/MandalCG99,ieee trans. vlsi syst.,journal of convergence information technology,,,,article
philippe bonnet|dennis shasha,administration wizards.,2009,2425912,reference/db/BonnetS09,,,encyclopedia of database systems,provable security,,incollection
f. x. che|john h. l. pang,vibration reliability test and finite element analysis for flip chip solder joints.,2009,2318177,journals/mr/CheP09,microelectronics reliability,journal of digital content technology and its applications,,,,article
juraj wiedermann,on the computational efficiency of symmetric neural networks.,1991,2244581,journals/tcs/Wiedermann91,theor. comput. sci.,acm transactions on computation theory (toct),,,,article
luis hernandez|enrique prefasi,a subsampling bandpass sigmadelta modulator with lumped and distributed resonators.,2008,506083,conf/iscas/HernandezP08,,,iscas,international conference on biometrics,,inproceedings
ismael h. f. dos santos|alberto barbosa raposo|marcelo gattass,collaborative environment for engineering simulations with integrated vr visualization.,2008,615580,conf/otm/SantosRG08,,,otm workshops,international conference on parallel processing,,phdthesis
noboru hamada|tor helleseth|halvard martinsen|øyvind ytrehus,"there is no ternary [28, 6, 16] code.",2000,2257316,journals/tit/HamadaHMY00,ieee transactions on information theory,international journal of ambient computing and intelligence (ijaci),,,,article
andy king|paul soper,serialisation analysis of concurrent logic programs.,1992,45949,conf/alp/KingS92,,,,,,inproceedings
josé castro caldas|helder coelho,choice and institutions in agent societies.,1999,213568,conf/epia/CaldasC99,,,,,,inproceedings
shaochun wu|tongyu yuan|yan tang|bofeng zhang|daming wei,geomagnetic precursor z component diurnal variation phase anomaly recognition based on the pattern distance.,2010,10935,conf/IEEEcit/WuYTZW10,,,cit,international conference on information visualisation,,inproceedings
daniel a. connors|wen-mei w. hwu,compiler-directed dynamic computation reuse: rationale and initial results.,1999,585335,conf/micro/ConnorsH99,,,micro,tools and algorithms for construction and analysis of systems,,inproceedings
olivier briant|denis naddef|grégory mounié,greedy approach and multi-criteria simulated annealing for the car sequencing problem.,2008,2329464,journals/eor/BriantNM08,european journal of operational research,journal of communications,,,,article
vinhthuy t. phan|max h. garzon,the capacity of dna for information encoding.,2004,187183,conf/dna/PhanG04,,,dna,advanced industrial conference on telecommunications,,article
sebastian zambal|jirí hladuvka|katja bühler,improving segmentation of the left ventricle using a two-component statistical model.,2006,584193,conf/miccai/ZambalHB06,,,,,,inproceedings
cristóbal luque del arco-calderón|pedro isasi viñuela|julio césar hernández castro,forecasting time series by means of evolutionary algorithms.,2004,643821,conf/ppsn/Arco-CalderonVC04,,,ppsn,computer supported cooperative work (cscw),,phdthesis
azzedine boukerche|yonglin ren,arma: an efficient secure ad hoc routing protocol.,2007,831202,conf/globecom/BoukercheR07,,,,,,inproceedings
kei utsugi|akiko obata|hiroki sato|ryuta aoki|atsushi maki|hideaki koizumi|kazuhiko sagara|hiroaki kawamichi|hirokazu atsumori|takusige katura,go-stop control using optical brain-computer interface during calculation task.,2008,2014649,journals/ieicet/UtsugiOSAMKSKAK08,ieice transactions,international journal of algebra and computation (ijac),,,,article
iqbal a. goralwalla|abdullah uz tansel|m. tamer özsu,experimenting with temporal relational databases.,1995,111858,conf/cikm/GoralwallaTO95,,,cikm,international workshop on quality of service,,inproceedings
b. nick rossiter,database support for hypertext.,1989,753533,conf/vldb/Rossiter89,,,vldb,logic in computer science,,inproceedings
pan pan|akihiro minagawa|jun sun 0004|yoshinobu hotta|satoshi naoi,a dual pass video stabilization system using iterative motion estimation and adaptive motion smoothing.,2010,413445,conf/icpr/PanMSHN10,,,,,,inproceedings
renato m. de moraes|hamid r. sadjadpour|j. j. garcia-luna-aceves,capacity of mimo manets with cooperation.,2006,824047,conf/iwcmc/MoraesSG06,,,iwcmc,designs,,inproceedings
thomas a. furness iii,retinal displays.,2002,531742,conf/iswc/Furness02,,,iswc,asian computing science conference,,inproceedings
peter sapaty|robert finkelstein|joaquim filipe,distributed emergency management with spatial scenarios.,2006,369474,conf/icinco/SapatyFF06,,,,,,inproceedings
luiz angelo barchet-estefanel|grégory mounié,identifying logical homogeneous clusters for efficient wide-area communications,2004,1906598,journals/corr/cs-DC-0408033,corr,international journal of wireless information networks,,,,inproceedings
barbara weber|stefanie rinderle|werner wild|manfred reichert,ccbr-driven business process evolution.,2005,334030,conf/iccbr/WeberRWR05,,,iccbr,embedded and ubiquitous computing,,inproceedings
s. m. f. d. syed mustapha|norisma idris|rukaini abdullah,embedding information retrieval and nearest-neighbour algorithm into automated essay grading system.,2005,795488,conf/icita/MustaphaIA05,,,,,,phdthesis
margaret h. eich,a classification and comparison of main memory database recovery techniques.,1987,350959,conf/icde/Eich87,,,icde,enterprise distributed object computing conference,,inproceedings
paul robertson,integrating legacy systems with modern corgorate applications.,1997,1858003,journals/cacm/Robertson97,commun. acm,tapos   theory and practice of object systems,,,,article
shih-wei chou|ching-chang lee|yu-chieh chang|chun-tong lin,understanding continuance intention of knowledge creation in online communities from a social-psychological perspective.,2009,293064,conf/hicss/ChouLCL09,,,hicss,grid and cooperative computing,,inproceedings
xiumei wang|zhenkun zhang|yixun lin,bipartite matching extendable graphs.,2008,1957256,journals/dm/WangZL08,discrete mathematics,journal of information & knowledge management,,,,article
christoph pickardt|jürgen branke|torsten hildebrandt|jens heger|bernd scholz-reiter,generating dispatching rules for semiconductor manufacturing to minimize weighted tardiness.,2010,786464,conf/wsc/PickardtBHHS10,,,winter simulation conference,databases,,inproceedings
amine el sahili,paths with two blocks in k-chromatic digraphs.,2004,1950681,journals/dm/Sahili04,discrete mathematics,journal of information & knowledge management,,,,article
neha rungta|eric g. mercer,an improved distance heuristic function for directed software model checking.,2006,244415,conf/fmcad/RungtaM06,,,,,,inproceedings
jietae lee|thomas f. edgar,simulations of stable non-conventional and large dimensional linear processes using the fft method.,2004,2389040,journals/cce/LeeE04,computers & chemical engineering,journal of computer applications in technology,,,,article
grahame bennett,double dipping: the case of the missing binomial coefficient identities.,1994,2238633,journals/tcs/Bennett94,,,,,,article
yiyang zhang|roger jianxin jiao,an associative classification-based recommendation system for personalization in b2c e-commerce applications.,2007,1979159,journals/eswa/ZhangJ07,expert syst. appl.,the journal of information processing systems,,,,article
chia-jung chang|yao-ting huang|kun-mao chao,a greedier approach for finding tag snps.,2006,1840915,journals/bioinformatics/ChangHC06,bioinformatics,international journal of cognitive informatics and natural intelligence (ijcini),,,,article
marian boykan pour-el|ning zhong,the wave equation with computable initial data whose unique solution is nowhere computable.,1997,2147578,journals/mlq/Pour-ElZ97,math. log. q.,ieee transactions on learning technologies,,,,article
elizabeth burd|malcolm munro|clazien d. wezeman,extracting reusable modules from legacy code: considering the issues of module granularity.,1996,764255,conf/wcre/BurdMW96,,,wcre,european performance engineering workshop,,inproceedings
g. v. krishna reddy|r. nadarajan|p. r. kandasamy,a nonpreemptive priority multiserver queueing system with general bulk service and heterogeneous arrivals.,1993,1902253,journals/cor/ReddyNK93,,,,,,incollection
michael a. henning|ortrud r. oellermann|henda c. swart,the diversity of domination.,1996,1954198,journals/dm/HenningOS96,discrete mathematics,journal of information & knowledge management,,,,inproceedings
krishna chintalapudi|ramesh govindan|gaurav sukhatme|amit dhariwal,ad-hoc localization using ranging and sectoring.,2004,471543,conf/infocom/ChintalapudiGSD04,,,infocom,international conference on weblogs and social media,,inproceedings
r. k. mohanty|noopur khosla,application of tage iterative algorithms to an efficient third order arithmetic average variable mesh discretization for two-point non-linear boundary value problems.,2006,2304358,journals/amc/MohantyK06,applied mathematics and computation,international journal on document analysis and recognition (ijdar),,,,incollection
matthias schmid|torsten hothorn,flexible boosting of accelerated failure time models.,2008,1849302,journals/bmcbi/SchmidH08,bmc bioinformatics,international journal of intelligent information and database systems (ijiids),,,,article
baojie li|hehe gu|yazhou ji,selection of optimal emergency rescue route based on improved ant colony algorithm.,2010,912498,conf/geoinformatics/LiGJ10,,,geoinformatics,engineering of computer based systems,,inproceedings
wei chen|song zhang|stephen correia|david f. tate,visualizing diffusion tensor imaging data with merging ellipsoids.,2009,56022,conf/apvis/ChenZCT09,,,,,,inproceedings
david c. conner|hadas kress-gazit|howie choset|alfred a. rizzi|george j. pappas,valet parking without a valet.,2007,859928,conf/iros/ConnerKCRP07,,,iros,information processing in sensor networks,,inproceedings
james v. miller|david e. breen|william e. lorensen|robert m. o'bara|michael j. wozny,geometrically deformed models: a method for extracting closed geometric models form volume data.,1991,695510,conf/siggraph/MillerBLOW91,,,siggraph,european conference on computer vision,,inproceedings
marcus furuholmen|kyrre glette|mats høvin|jim torresen,evolutionary approaches to the three-dimensional multi-pipe routing problem: a comparative study using direct encodings.,2010,233644,conf/evoW/FuruholmenGHT10,,,,,,inproceedings
gerald weiss|chaim ziegler,a comparative analysis of implementation mechanisms for pacekt voice conferencing.,1990,473841,conf/infocom/WeissZ90,,,,,,article
simeon keates|ray adams|cathy bodine|sara j. czaja|wayne gordon|peter gregor|emily hacker|vicki l. hanson|john kemp|mark laff|clayton lewis|michael pieper|john t. richards|david rose|anthony savidis|greg schultz|paul snayd|shari trewin|philip varker,cognitive and learning difficulties and how they affect access to it systems.,2007,2291776,journals/uais/KeatesABCGGHHKLLPRRSSSTV07,,,chi,workshop on hot topics in operating systems,,article
roberto antonio vázquez|humberto sossa,associative memories applied to pattern recognition.,2008,320133,conf/icann/VazquezS08,,,icann (2),availability,,inproceedings
hyun-a park|bum han kim|dong hoon lee|yon dohn chung|justin zhan,secure similarity search.,2007,804163,conf/grc/ParkKLCZ07,,,grc,computer aided verification,,article
jeong hyun yi,self-configurable authentication mechanism with verifiability in wireless ad hoc networks.,2008,832268,conf/globecom/Yi08,,,globecom,conference on current trends in theory and practice of informatics,,inproceedings
dong ha nguyen|mario südholt,vpa-based aspects: better support for aop over protocols.,2006,681248,conf/sefm/NguyenS06,,,sefm,ubiquitous computing,,inproceedings
xiang li|norbert oertel|andré kaup,adaptive lagrange multiplier selection for intra-frame video coding.,2007,503429,conf/iscas/LiOK07,,,iscas,international conference on biometrics,,inproceedings
rafael bohrer ávila|caciano machado|philippe olivier alexandre navaux,message-passing over shared memory for the seck programming environment.,2002,627031,conf/pdpta/AvilaMN02,,,pdpta,computing and combinatorics,,inproceedings
uko maran|sulev sild|paolo mazzatorta|mosé casalegno|emilio benfenati|mathilde romberg,grid computing for the estimation of toxicity: acute toxicity on fathead minnow (pimephales promelas).,2006,812761,conf/gccb/MaranSMCBR06,,,,,,inproceedings
david beymer|daniel m. russell|peter z. orton,wide vs. narrow paragraphs: an eye tracking analysis.,2005,477237,conf/interact/BeymerRO05,,,interact,embedded networked sensor systems,,inproceedings
rastislav lukac|konstantinos n. plataniotis,a cost-effective private-key cryptosystem for color image encryption.,2005,328595,conf/iccS/LukacP05,,,,,,inproceedings
yongfu wang|xiaoling huang|lijie zhao|tianyou chai,observer-based robust adaptive fuzzy tracking control in robot arms.,2004,872444,conf/icarcv/WangHZC04,,,icarcv,quantitative evaluation of systems,,inproceedings
jean-françois giovannelli,unsupervised bayesian convex deconvolution based on a field with an explicit partition function.,2008,2253453,journals/tip/Giovannelli08,ieee transactions on image processing,acm transactions on reconfigurable technology and systems,,,,inproceedings
daniel m. batista|andré c. drummond|nelson l. s. da fonseca,scheduling grid tasks under uncertain demands.,2008,665997,conf/sac/BatistaDF08,,,sac,cognition,,phdthesis
minh nghiem|dien dinh|mai nguyen,improving vietnamese pos tagging by integrating a rich feature set and support vector machines.,2008,655785,conf/rivf/NghiemDN08,,,rivf,international conference on web based learning,,inproceedings
mirco gelain|maria silvia pini|francesca rossi|kristen brent venable,dealing with incomplete preferences in soft constraint problems.,2007,138728,conf/cp/GelainPRV07,,,cp,recherche d'information assistee par ordinateur,,inproceedings
véronique eglin|antoine gagneux,visual exploration and functional document labeling.,2001,345193,conf/icdar/EglinG01,,,icdar,processing declarative knowledge,,inproceedings
vinod viswanath|jacob a. abraham|warren a. hunt jr.,automatic insertion of low power annotations in rtl for pipelined microprocessors.,2006,168277,conf/date/ViswanathAJ06,,,,,,inproceedings
jarmo huuskonen,prediction of soil sorption coefficient of a diverse set of organic chemicals from molecular structure.,2003,2095459,journals/jcisd/Huuskonen03,journal of chemical information and computer sciences,acm transactions on applied perception (tap),,,,article
hong-ru li|wen-xiu zhang,applying indiscernibility attribute sets to knowledge reduction.,2005,69827,conf/ausai/LiZ05,,,rskt,recherche d'information assistee par ordinateur,,inproceedings
baorui ren|tao wu|andrew p. smith|chris ruth|loren niklason|zhenxue jing|jay stein,the dependence of tomosynthesis imaging performance on the number of scan projections.,2006,573493,conf/mammo/RenWSRNJS06,,,digital mammography / iwdm,security and communication networks,,inproceedings
satyanarayana r. valluri|soujanya vadapalli|kamalakar karlapalem,sprinkling selections over join dags for efficient query optimization,2002,1906293,journals/corr/cs-DB-0202035,corr,international journal of wireless information networks,,,,article
todd j. green|gregory karvounarakis|val tannen,provenance semirings.,2007,639214,conf/pods/GreenKT07,,,,,,inproceedings
selina m. chu|hong-kwang kuo|lidia mangu|yi liu|yong qin|qin shi|shi lei zhang|hagai aronowitz,recent advances in the ibm gale mandarin transcription system.,2008,898770,conf/icassp/ChuKMLQSZA08,,,icassp,international conference on image analysis and recognition,,inproceedings
t. patrick martin|wendy powley,storing mdbs catalog information in an x.500 directory service.,1994,90670,conf/cascon/MartinP94,,,cascon,european conference on technology enhanced learning,,phdthesis
haresh luthria|fethi a. rabhi|michael briers,investigating the potential of service oriented architectures to realize dynamic capabilities.,2007,890194,conf/apscc/LuthriaRB07,,,apscc,international teletraffic congress,,inproceedings
maría del mar rueda|s. gonzález|antonio arcos,indirect methods of imputation of missing data based on available units.,2005,2308130,journals/amc/RuedaGA05,applied mathematics and computation,international journal on document analysis and recognition (ijdar),,,,article
huaiqiu zhu|gang-qing hu|zheng-qing ouyang|jin wang|zhen-su she,accuracy improvement for identifying translation initiation sites in microbial genomes.,2004,1844410,journals/bioinformatics/ZhuHOWS04,bioinformatics,international journal of cognitive informatics and natural intelligence (ijcini),,,,article
masahito hayashi|kazuo iwama|harumichi nishimura|rudy raymond harry putra|shigeru yamashita,quantum network coding.,2007,728435,conf/stacs/HayashiINPY07,,,stacs,international conference on evolvable systems,,inproceedings
ippei akita|kazuyuki wada|yoshiaki tadokoro,simplified low-voltage cmos syllabic companding log domain filter.,2007,502607,conf/iscas/AkitaWT07,,,iscas,international conference on biometrics,,inproceedings
p. j. abisha|d. g. thomas|sindhu j. kumaar,learning subclasses of pure pattern languages.,2008,364180,conf/icgi/AbishaTK08,,,icgi,workshop on persistent object systems,,inproceedings
konstantinos stamatakis|v. metsis|vangelis karkaletsis|marek ruzicka|vojtech svátek|enrique amigó|matti pöllä|constantine d. spyropoulos,content collection for the labelling of health-related web content.,2007,39871,conf/aime/StamatakisMKRSAPS07,,,,,,inproceedings
atsushi hori|munenori maeda|yutaka ishikawa|takashi tomokiyo|hiroki konaka,a scalable time-sharing scheduling for partitionable distributed memory parallel machines.,1995,288076,conf/hicss/HoriMITK95,,,jsspp,computer science review,,inproceedings
florence t. balagtas-fernandez|heinrich hussmann,model-driven development of mobile applications.,2008,553794,conf/kbse/Balagtas-FernandezH08,,,,,,inproceedings
willem p. de roever|frank s. de boer|ulrich hannemann|jozef hooman|yassine lakhnech|mannes poel|job zwiers,concurrency verification: introduction to compositional and noncompositional methods,2001,529,books/cu/RoeverBH2001,,,,,,book
renato bulcão neto|ajith k. sankarankutty|alessandra a. macedo|paulo azevedo-marques|lauro wichert-ana|josé antonio camacho guerrero,supporting ethnographic studies of ubiquitous computing in the medical grand round experience.,2008,666147,conf/sac/NetoSMAWG08,,,sac,cognition,,inproceedings
araken m. santos|anne m. p. canuto|joão carlos xavier jr.,accuracy and diversity in ensemble systems composed of artmap-based models.,2008,295806,conf/his/SantosCJ08,,,his,asia pacific computer systems architecture conference,,inproceedings
yueh-hsuan weng|chien-hsun chen|chuen-tsai sun,the legal crisis of next generation robots: on safety intelligence.,2007,312877,conf/icail/WengCS07,,,,,,inproceedings
dimitris bertsimas|rakesh v. vohra,rounding algorithms for covering problems.,1998,2150973,journals/mp/BertsimasV98,,,,,,article
seong-bae park|eun-kyung lee|yoon-shik tae,automatic word spacing in korean for small memory devices.,2005,442294,conf/ieaaie/ParkLT05,,,iea/aie,the european symposium on artificial neural networks,,inproceedings
roberto antonio vázquez|humberto sossa,voice translator based on associative memories.,2008,520394,conf/isnn/VazquezS08,,,,,,incollection
camino balbuena|martín cera|ana diánez|pedro garcía-vázquez|xavier marcote,connectivity of graphs with given girth pair.,2007,1951440,journals/dm/BalbuenaCDGM07,discrete mathematics,journal of information & knowledge management,,,,article
patrick mäder|orlena gotel|ilka philippow,enabling automated traceability maintenance by recognizing development activities applied to models.,2008,553622,conf/kbse/MaderGP08,,,ase,the vldb journal,,phdthesis
sandra m. richardson,knowledge management and the design of distributed cognition systems.,2005,290212,conf/hicss/Richardson05,,,hicss,grid and cooperative computing,,inproceedings
jaromir abrham,graceful 2-regular graphs and skolem sequences.,1991,1954863,journals/dm/Abrham91,discrete mathematics,journal of information & knowledge management,,,,article
patrick heinemann|frank sehnke|felix streichert|andreas zell,an automatic approach to online color training in robocup environments.,2006,860535,conf/iros/HeinemannSSZ06,,,robocup,euromicro,,inproceedings
eveline hoekx|jan van den bussche,mining tree-query associations in graphs,2010,1927497,journals/corr/abs-1008-2626,corr,international journal of wireless information networks,,,,article
mohammad eyadat,factors that affect the performance of the dct-block based image watermarking algorithms.,2004,535503,conf/itcc/Eyadat04,,,itng,intelligent autonomous systems,,inproceedings
zohreh nazeri|eric bloedorn|paul ostwald,experiences in mining aviation safety data.,2001,702553,conf/sigmod/NazeriBO01,,,sigmod conference,simulated evolution and learning,,inproceedings
sarah f. frisken gibson|roger j. hubbold,efficient hierarchical refinement and clustering for radiosity in complex environments.,1996,1872334,journals/cgf/GibsonH96,comput. graph. forum,international journal of mobile communications (ijmc),,,,article
george kornaros|theofanis orphanoudakis|nicholaos zervos,an efficient implementation of fair load balancing over multi-cpu soc architectures.,2003,189225,conf/dsd/KornarosOZ03,,,,,,inproceedings
fengyu cong|zhilin zhang|igor kalyakin|tiina huttunen-scott|heikki lyytinen|tapani ristaniemi,non-negative matrix factorization vs. fastica on mismatch negativity of children.,2009,464677,conf/ijcnn/CongZKHLR09,,,,,,article
dominic c. o'brien|grahame e. faulkner|hoa le minh|olivier bouchet|mamdouh el tabach|mike wolf|joachim w. walewski|sebastian randel|stefan nerreter|martin franke|klaus-dieter langer|jelena grubor|thomas kamalakis,home access networks using optical wireless transmission.,2008,878621,conf/pimrc/OBrienFMBTWWRNFLGK08,,,,,,inproceedings
ludovic pietre-cambacedes|marc bouissou,attack and defense modeling with bdmp.,2010,592760,conf/mmmacns/Pietre-CambacedesB10,,,mmm acns,requirements engineering,,inproceedings
andrea masini|luca viganò|marco volpe,a history of until,2009,1921888,journals/corr/abs-0910-4500,,,,,,inproceedings
george zheng|athman bouguettaya,web service mining for biological pathway discovery.,2005,183807,conf/dils/ZhengB05,,,dils,web search and data mining,,phdthesis
xin zeng|quasim h. mehdi|norman e. gough,from visual semantic parameterization to graphic visualization.,2005,540523,conf/iv/ZengMG05,,,iv,international conference on artificial intelligence,,inproceedings
chauã c. queirolo|luciano silva|olga regina pereira bellon|mauricio p. segundo,3d face recognition using the surface interpenetration measure: a comparative evaluation on the frgc database.,2008,412584,conf/icpr/QueiroloSBS08,,,icpr,algorithms in bioinformatics,,article
pierre bomel|nabil abdelli|eric martin|anne-marie fouilliart|emmanuel boutillon|philippe kajfasz,high-level synthesis in latency insensitive system methodology.,2005,189115,conf/dsd/BomelAMFBK05,,,dsd,international conference on mems,,inproceedings
andré raspaud|heiko schröder|ondrej sýkora|lubomir torok|imrich vrto,antibandwidth and cyclic antibandwidth of meshes and hypercubes.,2009,1957901,journals/dm/RaspaudSSTV09,,,,,,article
brigitte pientka,"beluga: programming with dependent types, contextual data, and contexts.",2010,243455,conf/flops/Pientka10,,,,,,inproceedings
dimitrios apostolopoulos|liam pedersen|benjamin shamah|kimberly j. shillcutt|michael d. wagner|william whittaker,robotic antarctic meteorite search outcomes.,2001,414348,conf/icra/ApostolopoulosPSSWW01,,,,,,article
stavros a. karkanis|dimitrios k. iakovidis|dimitrios e. maroulis|dimitris a. karras,detection of lesions in endoscopic video using textural descriptors on wavelet domain supported by artificial neural network.,2001,373035,conf/icip/KarkanisIMK01,,,icip (2),international conference on information and communication security,,inproceedings
ronan billon|alexis nédélec|jacques tisseau,gesture recognition in flow based on pca analysis using multiagent system.,2008,5756,conf/ACMace/BillonNT08,,,,,,inproceedings
aruna seneviratne|eranga perera|henrik petander,mobile hotspots.,2007,43506,conf/aintec/SeneviratnePP07,,,icn (2),ieee symposium on computer based medical systems,,inproceedings
r. j. hughes|g. g. luther|g. l. morgan|c. g. peterson|c. m. simmons,quantum cryptography over underground optical fibers.,1996,141322,conf/crypto/HughesLMPS96,,,crypto,acm southeast regional conference,,inproceedings
salem f. adra|peter j. fleming,progressive diversity management in evolutionary multiobjective optimisation.,2010,821971,conf/cec/AdraF10,,,ieee congress on evolutionary computation,workshop on power and timing modeling,,inproceedings
marc joye|francis olivier,side-channel analysis.,2005,2421397,reference/crypt/JoyeO05,,,,,,inproceedings
patrick hoffmann|lionel médini|parisa ghodous,using context to improve semantic interoperability.,2006,797288,conf/ispe/HoffmannMG06,,,,,,article
yang ling|jin wang|yunqiang liu|wenjun zhang,spatial and temporal correlation based frame rate up-conversion.,2008,380202,conf/icip/LingWLZ08,,,icip,cluster computing,,phdthesis
fang lide|li jinhai|cao suosheng|kong xiangjie,effect of step change of water supply temperature on heating measurement system.,2008,871872,conf/icarcv/LideJSX08,,,icarcv,quantitative evaluation of systems,,inproceedings
yi wang|richard r. schultz|ronald a. fevig,sensor fusion method using gps/imu data for fast uav surveillance video frame registration.,2009,899916,conf/icassp/WangSF09,,,icassp,european conference on parallel processing,,inproceedings
tatsuya nomura|takayuki kanda|tomohiro suzuki|jeonghye han|namin shin|jennifer burke|kensuke kato,"implications on humanoid robots in pedagogical applications from cross-cultural analysis between japan, korea, and the usa.",2007,884058,conf/ro-man/NomuraKSHSBK07,,,,,,inproceedings
james a. platts|darko butina|michael h. abraham|anne hersey,estimation of molecular linear free energy relation descriptors using a group contribution approach.,1999,2096475,journals/jcisd/PlattsBAH99,journal of chemical information and computer sciences,acm transactions on applied perception (tap),,,,article
andreas prlic|ewan birney|tony cox|thomas a. down|robert d. finn|stefan gräf|david k. jackson|andreas kähäri|eugene kulesha|roger pettett|james smith|jim stalker|tim j. p. hubbard,the distributed annotation system for integration of biological data.,2006,183726,conf/dils/PrlicBCDFGJKKPSSH06,,,dils,web search and data mining,,inproceedings
martin oberhofer|erik nijkamp,embedded analytics in front office applications.,2009,82455,conf/btw/OberhoferN09,,,btw,algebraic and logic programming,,inproceedings
andrei mantsivoda|vyacheslav petukhin,implementation of the functional-logic language flang.,1991,625801,conf/pdk/MantsivodaP91,,,,,,inproceedings
axel bürkle|barbara essendorfer|alice hertel|wilmuth müller|martin wieser,a test suite for the evaluation of mobile agent platform security.,2006,306118,conf/iat/BurkleEHMW06,,,,,,inproceedings
binyamin rosenfeld|ronen feldman,ures : an unsupervised web relation extraction system.,2006,24596,conf/acl/RosenfeldF06,,,ismis,topic maps research and applications,,phdthesis
qianneng zhou|fengchang lai|yongsheng wang,on-chip voltage down converter based on moderate inversion for low- power vlsi chips.,2007,756316,conf/vlsid/ZhouLW07,,,acm great lakes symposium on vlsi,tapsoft,,inproceedings
nadeem abdul hamid|zhong shao|valery trifonov|stefan monnier|zhaozhong ni,a syntactic approach to foundational proof-carrying code.,2002,568452,conf/lics/HamidSTMN02,,,lics,symposium on fault tolerant computing,,inproceedings
steve warren|daniel andresen|daniel wilson|seth hoskins,embedded design considerations for a wearable cattle health monitoring system.,2008,148482,conf/csreaESA/WarrenAWH08,,,,,,inproceedings
reinhold behringer|steven chen|venkataraman sundareswaran|kenneth wang|marius vassiliou,a distributed device diagnostics system utilizing augmented reality and 3d audio.,1999,1868622,journals/cg/BehringerCSWV99,computers & graphics,journal of internet technology,,,,article
suat bayram|sinan gezici|h. vincent poor,noise enhanced detection in the restricted bayesian framework.,2010,901608,conf/icassp/BayramGP10,,,icassp,international conference on image analysis and recognition,,inproceedings
saman cooray|tommy curran,region-based facial feature extraction for face detection in color images.,2003,454903,conf/iicai/CoorayC03,,,,,,inproceedings
susana baptista|rui carvalho oliveira|eduardo zúquete,a period vehicle routing case study.,2002,2331070,journals/eor/BaptistaOZ02,european journal of operational research,journal of communications,,,,inproceedings
hoda dehmeshki|wolfgang stürzlinger,intelligent object group selection.,2008,107048,conf/chi/DehmeshkiS08,,,chi extended abstracts,international conference on biomedical engineering and informatics,,inproceedings
katsuhiko nakamura,extending incremental learning of context free grammars in synapse.,2004,364095,conf/icgi/Nakamura04,,,icgi,workshop on persistent object systems,,inproceedings
steve kuo|dan i. moldovan|seungho cha,mcmr: a multiple rule firing production system model.,1991,482608,conf/ipps/KuoMC91,,,ipps,visual languages,,phdthesis
thomas rauber|robert reilein|gudula rünger,ort: a communication library for orthogonal processor groups.,2001,673505,conf/sc/RauberRR01,,,sc,biometrics and electronic signatures,,inproceedings
