pauthor,ptitle,pyear,pid,pkey,journal,journalfull,booktitle,booktitlefull,journal_abbreviation,ptype
florent di meglio|tarek rabbani|xavier litrico|alexandre m. bayen,feed-forward river flow control using differential flatness.,2008,882435,conf/cdc/MeglioRLB08,,,cdc,working conference on reverse engineering,,inproceedings
xianrong zheng|patrick martin|wendy powley|kathryn brohman,applying bargaining game theory to web services negotiation.,2010,12914,conf/IEEEscc/ZhengMPB10,,,ieee scc,asia pacific software engineering conference,,inproceedings
zheng gong|yu long|xuan hong|kefei chen,two certificateless aggregate signatures from bilinear maps.,2007,715036,conf/snpd/GongLHC07,,,snpd (3),international conference on software engineering,,phdthesis
qi zhou|chong wang|miao xiong|haofen wang|yong yu,spark: adapting keyword query to semantic search.,2007,683854,conf/semweb/ZhouWXWY07,,,iswc/aswc,integration of ai and or techniques in constraint programming,,inproceedings
maria de lourdes da silveira|berthier a. ribeiro-neto,concept-based ranking: a case study in the juridical domain.,2004,2060646,journals/ipm/SilveiraR04,inf. process. manage.,international journal of knowledge management (ijkm),,,,article
thomas colcombet|pascal fradet,enforcing trace properties by program transformation.,2000,639829,conf/popl/ColcombetF00,,,popl,web information systems and technologies,,inproceedings
dukka bahadur|etsuji tomita|jun'ichi suzuki|katsuhisa horimoto|tatsuya akutsu,clique-based algorithms for protein threading with profiles and constraints.,2005,51060,conf/apbc/BahadurTSHA05,,,apbc,iberoamerican congress on pattern recognition,,inproceedings
iraide zipitria|ana arruarte lasa|jon a. elorriaga,observing lemmatization effect in lsa coherence and comprehension grading of learner summaries.,2006,538424,conf/its/ZipitriaLE06,,,intelligent tutoring systems,international symposium on low power electronics and design,,inproceedings
jeffrey s. geronimo,"corrigendum to ""on the spectra of infinite-dimensional jacobi matrices"" [j. approx. theory 53 (1988) 251-265].",2010,2086156,journals/jat/Geronimo10,journal of approximation theory,international journal of pattern recognition and artificial intelligence (ijprai),,,,article
andreas goebels|hans kleine büning|steffen priesterjahn|alexander weimer,towards online partitioning of agent sets based on local information.,2005,625002,conf/pdcn/GoebelsBPW05,,,parallel and distributed computing and networks,defect and fault tolerance in vlsi systems,,inproceedings
choudur lakshminarayan|qingfeng yu|alan benson,improving customer experience via text mining.,2005,187490,conf/dnis/LakshminarayanYB05,,,dnis,virtual reality software and technology,,inproceedings
tinghui wang|feng zhao|jiang wan|yongxin zhu,a novel hardware architecture for rapid object detection based on adaboost algorithm.,2010,530726,conf/isvc/WangZWZ10,,,isvc (3),international conference on conceptual modeling / the entity relationship approach,,inproceedings
teresa león|vicente liern|josé luis ruiz gómez|inmaculada sirvent,a fuzzy mathematical programming approach to the assessment of efficiency with dea models.,2003,1990284,journals/fss/LeonLGS03,fuzzy sets and systems,international journal of services and standards,,,,article
amanda o'farrell|brendan tierney,the ip multimedia subsystem (ims) & the mobile internet - opportunities for the mobile operator.,2007,359859,conf/iceis/OFarrellT07,,,setp,lss / ieee computer society bioinformatics conference,,inproceedings
élise garrot|sébastien george|patrick prévôt,the development of te-cap: an assistance environment for online tutors.,2007,205742,conf/ectel/GarrotGP07,,,,,,inproceedings
anuj kumar|kei-hoi cheung|nick p. tosches|peter masiar|yang liu|perry l. miller|michael snyder,the triples database: a community resource for yeast molecular biology.,2002,2157462,journals/nar/KumarCTMLMS03,nucleic acids research,international journal of ad hoc and ubiquitous computing (ijahuc),,,,inproceedings
glauco de figueiredo carneiro|angelo c. araujo orrico|manoel gomes de mendonça neto,empirically evaluating the usefulness of software visualization techniques in program comprehension activities.,2007,551482,conf/jiisic/CarneiroON07,,,jiisic,canadian conference on computational geometry,,inproceedings
yi chen|sarat c. dass|anil k. jain,localized iris image quality using 2-d wavelets.,2006,321956,conf/icb/ChenDJ06,,,icb,compcon,,inproceedings
raja vallée-rai|etienne gagnon|laurie j. hendren|patrick lam|patrice pominville|vijay sundaresan,optimizing java bytecode using the soot framework: is it feasible?,2000,95468,conf/cc/Vallee-RaiGHLPS00,,,cc,international workshop on groupware,,inproceedings
maite lopez-garate|alberto lozano-rodero|luis m. matey,an adaptive and customizable feedback system for intelligent interactive learning systems.,2008,538461,conf/its/Lopez-GarateLM08,,,,,,inproceedings
chinatsu aone|sharon flank|douglas mckee|paul krause,sra: description of the solomon system as used for muc-5.,1993,851955,conf/muc/AoneFMK93,,,muc,design and implementation of symbolic computation systems,,inproceedings
kevin mccarthy|lorraine mcginty|barry smyth|james reilly,a live-user evaluation of incremental dynamic critiquing.,2005,333873,conf/iccbr/McCarthyMSR05,,,iccbr,embedded and ubiquitous computing,,inproceedings
klaus lindauer|jürgen sühnel,c-h...x hydrogen bonds in rna structures.,1996,261025,conf/gcb/LindauerS96,,,german conference on bioinformatics,colloquium on trees in algebra and programming,,inproceedings
charalambos constantinou|symeon retalis|george papadopoulos|vrasidas charalambos,combining streaming media and collaborative elements to support lifelong learning.,2009,2432679,series/sci/ConstantinouRPC09,,,intelligent collaborative e learning systems and applications,ieee/ifip network operations and management symposium,,incollection
ushaa eswaran|madhusudhana rao ganji|m. s. thakur,microprocessor based biosensors for determination of toxins and pathogens in restricted areas of human intervention.,2004,311243,conf/icai/EswaranGT04,,,ic ai,medical image computing and computer assisted intervention,,inproceedings
gerard ellis,object-oriented conceptual graphs.,1995,340002,conf/iccs/Ellis95,,,sdm,text retrieval conference,,inproceedings
toru yazawa|katsunori tanaka|tomoo katsuyama,alternans lowers the scaling exponent of heartbeat fluctuation dynamics: a detrended fluctuation analysis in animal models and humans.,2009,893976,conf/csie/YazawaTK09,,,csie (1),object oriented real time distributed computing,,inproceedings
timothy d. r. hartley|ümit v. çatalyürek|füsun özgüner|andy yoo|scott kohn|keith w. henderson,mssg: a framework for massive-scale semantic graphs.,2006,118686,conf/cluster/HartleyCOYKH06,,,cluster,international symposium on software testing and analysis,,inproceedings
xiang-wei zhu|liang xiao,research of multiple watermarks algorithm in e-commerce copyright protection and tracking.,2008,115051,conf/cis/ZhuX08,,,cis (1),symposium on principles of database systems,,phdthesis
allen brewer|wei ding|karla hahn|anita komlodi,the role of intermediary services in emerging digital libraries.,1996,185015,conf/dl/BrewerDHK96,,,digital libraries,ieee micro,,inproceedings
hakim hacid|djamel abdelkader zighed,an effective method for locally neighborhood graphs updating.,2005,176330,conf/dexa/HacidZ05,,,dexa,design,,inproceedings
valery i. korzhik|guillermo morales-luna|ksenia loban|irina marakova-begoc,undetectable spread-time stegosystem based on noisy channels.,2010,904792,conf/imcsit/KorzhikMLM10,,,imcsit,international symposium on computer and information sciences,,inproceedings
markku sääksjärvi,in search of business success on the web: the dilemma of defensive functionality.,1999,290344,conf/hicss/Saaksjarvi99,,,hicss,grid and cooperative computing,,inproceedings
alejandro linares-barranco|gabriel jiménez|antón civit|bernabé linares-barranco,synthetic generation of events for address-event-representation communications.,2002,621988,conf/patmos/Linares-BarrancoJCL02,,,patmos,european conference on multimedia applications,,inproceedings
thorsten dahmke|matthias färber|christian-arved bohn|heinz handels,vr-trainingssimulator für lumbal- und aszitespunktionen mit elastischer nadelverbiegung.,2009,76371,conf/bildmed/DahmkeFBH09,,,bildverarbeitung fur die medizin,formal methods in computer aided design,,inproceedings
kevin j. sullivan|mark marchukov|john socha,analysis of a conflict between aggregation and interface negotiation in microsoft's component object model.,1999,2284656,journals/tse/SullivanMS99,ieee trans. software eng.,journal of the american society for information science and technology (jasist),,,,article
thomas matheis|jörg ziemann|daniel schmidt|maria wimmer|peter loos,gathering requirements for egovernment in the large - conceptual framework and exemplary application.,2008,587864,conf/mkwi/MatheisZSWL08,,,multikonferenz wirtschaftsinformatik,turkish symposium on artificial intelligence and neural networks,,inproceedings
emilio mancini|umberto villano|massimiliano rak|roberto torella,a simulation-based framework for autonomic web services.,2005,403437,conf/icpads/ManciniVRT05,,,wetice,acm symposium on theory of computing,,inproceedings
yu chye cheong|stan jarzabek,frame-based method for customizing generic software architectures.,1999,726703,conf/ssr/CheongJ99,,,ssr,international workshop on data warehousing and olap,,inproceedings
steffen kern|peter braun,towards adaptive migration strategies for mobile agents.,2005,780763,conf/wrac/KernB05,,,date,autonomous agents and multi agent systems,,phdthesis
miia-maarit saarelainen|jussi koskinen|jarmo j. ahonen|irja kankaanpää|henna sivula|heikki lintinen|päivi juutilainen|tero tilus,group decision-making processes in industrial software evolution.,2007,793869,conf/icsea/SaarelainenKAKSLJT07,,,icsea,ieee international conference on networks,,inproceedings
yoshiharu asakura|yukikazu nakamoto,extending a role graph for role-based access control.,2009,2015169,journals/ieicet/AsakuraN09,ieice transactions,international journal of algebra and computation (ijac),,,,inproceedings
john t. richards|vicki l. hanson|jonathan p. brezin|calvin swart|susan crayne|mark laff,accessibility works: enhancing web accessibility in firefox.,2007,283320,conf/hci/RichardsHBSCL07,,,,,,inproceedings
jun zhang|kwok-wing chau,the explicit exploration information exchange mechanism for niche technique.,2008,367655,conf/icic/ZhangC08,,,icic (2),logical aspects of computational linguistics,,inproceedings
peter klein,terminals for widenband communication.,1984,322954,conf/icc/Klein84,,,icc (1),european conference on digital libraries,,inproceedings
hanoch lev-ari|alex m. stankovic,hilbert space techniques for reactive power compensation with limited current bandwidth.,2004,496908,conf/iscas/Lev-AriS04,,,iscas (5),integration of ai and or techniques in constraint programming,,inproceedings
chittaranjan a. mandal|p. p. chakrabarti|sujoy ghose,design space exploration for data path synthesis.,1997,755468,conf/vlsid/MandalCG97,,,vlsi design,vlsi design,,article
scott f. smith|tiejun wang,polyvariant flow analysis with constrained types.,2000,221295,conf/esop/SmithW00,,,esop,sigir forum,,inproceedings
josé ramon méndez|eva lorenzo iglesias|florentino fdez-riverola|fernando díaz|juan m. corchado,"tokenising, stemming and stopword removal on anti-spam filtering domain.",2005,85310,conf/caepia/MendezIFDC05,,,,,,inproceedings
barrie r. nault|albert s. dexter|richard wolfe,electronic communication innovations: overcoming adoption resistance.,1998,2295757,journals/wi/NaultDW98,wirtschaftsinformatik,international journal of bioinformatics research and applications (ijbra),icn/icons/mcl,combinatorial pattern matching,,article
t. c. manjunath|p. s. shingare|s. janardhanan,"simulation, design and practical implementation of a mobile wireless autonomous surveillance system.",2004,369253,conf/icinco/ManjunathSJ04,,,icinco (2),dependable systems and networks,,inproceedings
jose o. fajardo|jon ander picó|alejandro muñoz,new tunneling capabilities for bgp/mpls ip vpn in gnu/linux.,2008,396864,conf/icn/FajardoPM08,,,icn,international symposium on physical design,,inproceedings
emilio mancini|umberto villano|nicola mazzocca|massimiliano rak|roberto torella,performance-driven development of a web services application using metapl/hesse.,2005,626176,conf/pdp/ManciniVMRT05,,,,,,inproceedings
ying-chang liang|rui zhang|john m. cioffi,transmit optimization for mimo-ofdm with delay-constrained and no-delay-constrained traffic.,2006,2351215,journals/tsp/LiangZC06,ieee transactions on signal processing,journal of advanced computational intelligence and intelligent informatics (jaciii),,,,article
arun ramaswamy|wasfy b. mikhael,an efficient coding technique for multi-transform image representation.,1994,498073,conf/iscas/RamaswamyM94,,,iscas,international conference on biometrics,,inproceedings
chao deng|jun wu|xinyu shao,reliability assessment of machining accuracy on support vector machine.,2008,857834,conf/icira/DengWS08,,,icira (2),modeling,,inproceedings
g. michael schneider|robert l. sedlmeyer|joe kearney,on the complexity of measuring software complexity.,1981,33433,conf/afips/SchneiderSK81,,,,,,inproceedings
ana isabel gonzález|manuel graña|imanol echave|jesús ruiz-cabello,bayesian vq image filtering design with fast adaption competitive neural networks.,1999,542341,conf/iwann/GonzalezGER99,,,iwann (2),workshop em engenharia de requisitos,,inproceedings
shintaro urabe|jiahong wang|eiichiro kodama|toyoo takata,a high collusion-resistant approach to distributed privacy-preserving data mining.,2007,625275,conf/pdcn/UrabeWKT07,,,parallel and distributed computing and networks,defect and fault tolerance in vlsi systems,,phdthesis
salih aytar|musa a. mammadov|serpil pehlivan,statistical limit inferior and limit superior for sequences of fuzzy numbers.,2006,1989628,journals/fss/AytarMP06,fuzzy sets and systems,international journal of services and standards,,,,article
shankar joshi|alwyn r. pais,a new probabilistic rekeying method for secure dynamic groups.,2008,680537,conf/secrypt/JoshiP08,,,secrypt,international conference on cognitive informatics,,inproceedings
peter luksch|ursula maier|sabine rathmayer|matthias weidmann,sempa: software engineering methods for parallel scientific applications.,1996,629974,conf/pds/LukschMRW96,,,gi jahrestagung (2),ieee transactions on automation science and engineering,,inproceedings
yugo hayashi|kazuhisa miwa,cognitive and emotional characteristics of communication in human-human/human-agent interaction.,2009,284524,conf/hci/HayashiM09,,,biodevices (1),formal techniques in real time and fault tolerant systems,,inproceedings
harald haugen|bodil ask,a networked university as a joint venture - challenging the trad. system.,1998,768894,conf/webnet/HaugenA98,,,webnet,neural information processing systems,,inproceedings
dirk c. mattfeld|herbert kopfer|christian bierwirth,control of parallel population dynamics by social-like behavior of ga-individuals.,1994,644269,conf/ppsn/MattfeldKB94,,,ppsn,computer supported cooperative work (cscw),,inproceedings
p. y. chan|tak wah lam|siu-ming yiu,a more accurate and efficient whole genome phylogeny.,2006,51096,conf/apbc/ChanLY06,,,apbc,iberoamerican congress on pattern recognition,,article
samuel ieong|robert mcgrew|eugene nudelman|yoav shoham|qixiang sun,fast and compact: a simple class of congestion games.,2005,15723,conf/aaai/IeongMNSS05,,,aaai,conference on object oriented programming systems,,inproceedings
suqin liu|jing wang|xingsheng li|jun shuo|huihui liu,design and implement of a scheduling strategy based on pso algorithm.,2010,907018,conf/swarm/LiuWLSL10,,,icsi (2),designs,,phdthesis
sanghamitra bandyopadhyay|malay bhattacharyya,analyzing mirna co-expression networks to explore tf-mirna regulation.,2009,1850045,journals/bmcbi/BandyopadhyayB09,bmc bioinformatics,international journal of intelligent information and database systems (ijiids),,,,inproceedings
norio sadachika|takahiro murakami|hideki oka|ryou tanabe|hans jürgen mattausch|mitiko miura-mattausch,compact double-gate metal-oxide-semiconductor field effect transistor model for device/circuit optimization.,2008,2014109,journals/ieicet/SadachikaMOTMM08,,,,,,incollection
cristine martins gomes de gusmão|hermano perrelli de moura,multiple risk management process supported by ontology.,2006,647257,conf/profes/GusmaoM06,,,profes,conference of the european chapter of the association for computational linguistics,,inproceedings
masaaki kurosu,dilemma of usability engineering.,1997,281548,conf/hci/Kurosu97a,,,hci (2),international conference on electronic publishing,,inproceedings
rongzeng cao|wei ding 0002|chunhua tian,using resource and portfolio management solution to align it investment with business.,2005,356133,conf/icebe/CaoDT05,,,icebe,international conference on software maintenance,,inproceedings
xingquan zhu|lide wu|xiangyang xue|xiaoye lu|jianping fan,automatic scene detection in news program by integrating visual feature and rules.,2001,623427,conf/pcm/ZhuWXLF01,,,icycs,new interfaces for musical expression,,inproceedings
luc moreau|simon miles|carole a. goble|r. mark greenwood|vijay dialani|matthew addis|m. nedim alpdemir|rich cawley|david de roure|justin ferris|robert j. gaizauskas|kevin glover|chris greenhalgh|peter li|xiaojian liu|phillip w. lord|michael luck|darren marvin|thomas m. oinn|norman w. paton|steve pettifer|milena v. radenkovic|angus roberts|alan j. robinson|tom rodden|martin senger|nick sharman|robert stevens|brian warboys|anil wipat|chris wroe,on the use of agents in bioinformatics grid.,2003,97115,conf/ccgrid/MoreauMGGDAACRFGGGLLLLMOPPRRRRSSSWWW03,,,iscas (4),automated software engineering,,inproceedings
changwook kim|dong hoon lee,separating k-separated ence graph languages.,1993,2241951,journals/tcs/KimL93,theor. comput. sci.,acm transactions on computation theory (toct),,,,article
ralph p. russo|nariankadu d. shyamalkumar,reading policies for joins: an asymptotic analysis,2007,1909097,journals/corr/abs-math-0703019,corr,international journal of wireless information networks,,,,article
william b. gevarter|james s. albus|n. caplan|b. chern|kent curtis|marvin denicoff|james r. slagle,federal programs in artificial intelligence.,1977,457970,conf/ijcai/GevarterACCCDS77,,,,,,inproceedings
b. csákány,a form of the zermelo-von neumann theorem under minimal assumptions.,2002,1814116,journals/actaC/Csakany02,acta cybern.,international journal of intelligent systems technologies and applications (ijista),,,,article
chandrasekhar narayanaswami|mandayam t. raghunath,application design for a smart watch with a high resolution display.,2000,531904,conf/iswc/NarayanaswamiR00,,,iswc,asian computing science conference,,inproceedings
rahul r. bagdia|zbigniew j. pasek,upstream demand projection and performance mapping in supply chains.,2005,781102,conf/wsc/BagdiaP05,,,iwann (2),int. conf. informatics in control,,inproceedings
jun sun 0004|zhulong wang|hao yu|fumihito nishino|yutaka katsuyama|satoshi naoi,effective text extraction and recognition for www images.,2003,187648,conf/doceng/SunWYNKN03,,,acm symposium on document engineering,acs/ieee international conference on computer systems and applications,,inproceedings
claudia müller-birn|janette lehmann|sabina jeschke,a composite calculation for author activity in wikis: accuracy needed.,2009,767275,conf/webi/Muller-BirnLJ09,,,web intelligence,vision modeling and visualization,,inproceedings
wenjie zhang|jianzhong li|wei zhang,spatio-temporal pattern query processing based on effective trajectory splitting models in moving object database.,2006,469506,conf/imsccs/ZhangLZ06,,,imsccs (2),international workshop on entertainment computing,,inproceedings
khalid latif|edgar weippl|a. min tjoa,question driven semantics interpretation for collaborative knowledge engineering and ontology reuse.,2007,488058,conf/iri/LatifWT07,,,iri,pattern recognition and machine intelligence,,inproceedings
beatriz olleta|hanjun jiang|degang chen|randall l. geiger,parameter optimization of deterministic dynamic element matching dacs for accurate and cost-effective adc testing.,2004,497728,conf/iscas/OlletaJCG04a,,,iscas (1),int. conference on information systems security,,inproceedings
andreas s. weigend|fei chen|stephen figlewski|steven r. waterhouse,discovering technical traders in the t-bond futures market.,1998,555342,conf/kdd/WeigendCFW98,,,kdd,text,,inproceedings
se-bin im|hyung-jin choi,robust iterative channel estimation for ofdm packet transmission system.,2006,806645,conf/vtc/ImC06,,,,,,inproceedings
christian knauer|andreas spillner,a fixed-parameter algorithm for the minimum weight triangulation problem based on small graph separators.,2006,772933,conf/wg/KnauerS06,,,wg,aspect oriented software development,,inproceedings
abdullah al mahmud|jean-bernard martens,'i have something to say': supporting aphasics for organizing and sharing personal experiences by photos.,2009,478076,conf/interact/MahmudM09,,,interact (1),brazilian symposium on computer graphics and image processing,,article
isaac lera|carlos juiz|ramón puigjaner,owl-m extension for semantic representations of ontology alignments.,2010,865511,conf/cisis/LeraJP10,,,nbis,protocol specification,,phdthesis
serdar çolak|hilmi lus|ali rana atilgan,vulnerability of networks against critical link failures,2010,1930323,journals/corr/abs-1012-5961,corr,international journal of wireless information networks,,,,inproceedings
anton eliëns|yiwen wang|chris van riel|tatja scholte,3d digital dossiers: a new way of presenting cultural heritage on the web.,2007,758540,conf/vrml/EliensWRS07,,,web3d,asian symposium on programming languages and systems,,inproceedings
anil k. jain|unsang park,facial marks: soft biometric for face recognition.,2009,381501,conf/icip/JainP09,,,icip,cluster computing,,inproceedings
an-min zou|zeng-guang hou|min tan|zeng-shun zhao,tracking control of a nonholonomic mobile robot using a fuzzy-based approach.,2006,254150,conf/fskd/ZouHTZ06,,,ispan,lernen,,inproceedings
benoît duc|elizabeth saers bigün|josef bigün|gilbert maître|stefan fischer 0005,fusion of audio and video information for multi modal person authentication.,1997,2186551,journals/prl/DucBBMF97,pattern recognition letters,revista iberoamericana de tecnologias del aprendizaje,,,,incollection
chun xue|zili shao|meilin liu|edwin hsing-mean sha,iterational retiming: maximize iteration-level parallelism for nested loops.,2005,125593,conf/codes/XueSLS05,,,codes+isss,international symposium on symbolic and algebraic computation,,inproceedings
junyong xiang|jaekyeong kim|hyouk o,a comparative analysis of international and chinese electronic commerce research.,2004,356087,conf/iceb/XiangKO04,,,,,,inproceedings
zhen shao|yuqiang feng|qing hu|yang liu,a conceptual model for studying the influence of charismatic leadership on erp implementation lifecycle.,2009,293238,conf/hicss/ShaoFHL09,,,hicss,grid and cooperative computing,,inproceedings
kyeong keol ryu|eung s. shin|vincent john mooney iii,a comparison of five different multiprocessor soc bus architectures.,2001,189304,conf/dsd/RyuSM01,,,date,autonomous agents and multi agent systems,,inproceedings
neelakantan sundaresan|dennis gannon,experimental evaluation of coir: a system for control and data parallelism.,1995,626826,conf/pdpcs/SundaresanG95,,,parallel and distributed computing and systems,partial evaluation and semantic based program manipulation,,inproceedings
thilo stadelmann|bernd freisleben,unfolding speaker clustering potential: a biomimetic approach.,2009,590891,conf/mm/StadelmannF09,,,acm multimedia,high performance computing,,inproceedings
wendy osborn|steve fox,automated and scheduled maintenance of digital library collections.,2007,834305,conf/icdim/OsbornF07,,,icdim,advanced information networking and applications,,inproceedings
daniel hernández,zur implementierbarkeit analogischer repräsentationen.,1989,560524,conf/ki/Hernandez89,,,gwai,latin american web congress,,inproceedings
srinivas sampalli|musfiq rahman|deepak tagra|jignasa shah|vinod ramachandra|yash gugle|mohammed al-khatari|komalesh narayan,test suite for vulnerability analysis of rfid systems.,2010,437553,conf/icwn/SampalliRTSRGAN10,,,icwn,international conference on biometrics,,inproceedings
sang-eon han,non-product property of the digital fundamental group.,2005,2064545,journals/isci/Han05,inf. sci.,international journal of services technology and management (ijstm),,,,article
hadhrami ab. ghani|mustafa k. gurcan|zhenfeng he,two-group resource allocation with channel ordering and interference cancellation.,2010,874568,conf/wcnc/GhaniGH10,,,wcnc,symposium on reliability in distributed software,,inproceedings
fuat akal|klemens böhm|hans-jörg schek,olap query evaluation in a database cluster: a performance study on intra-query parallelism.,2002,29890,conf/adbis/AkalBS02,,,,,,inproceedings
zachary g. ives|nitin khandelwal|aneesh kapur|murat cakir,"orchestra: rapid, collaborative sharing of dynamic data.",2005,111013,conf/cidr/IvesKKC05,,,cidr,algebraic methodology and software technology,,phdthesis
chen li 0004|min xie|cheng-kok koh|jason cong|patrick h. madden,routability-driven placement and white space allocation.,2004,331871,conf/iccad/LiXKCM04,,,iccad,agile development conference,,inproceedings
luis de marcos|josé ramón hilera|eva garcía|antonio garcía|josé-javier martínez|josé maría gutiérrez|roberto barchino|salvador otón|josé antonio gutiérrez|elena vilar|miriam martínez|salvador espinosa,a mobile learning tool to deliver online questionnaires.,2010,823718,conf/iticse/MarcosHGGMGBOGVME10,,,,,,inproceedings
cheng zeng|keqing he|bing li|chong wang 0004|yangfan he,on ontology management in semantic web service registry.,2010,262564,conf/gcc/ZengHLWH10,,,,,,incollection
peter bach|michael braun|arno formella|jörg friedrich|thomas grün|cédric lichtenau,building the 4 processor sb-pram prototype.,1997,285965,conf/hicss/BachBFFGL97,,,hicss (5),european workshop on case based reasoning,,inproceedings
yuhan cai|xin luna dong|alon y. halevy|jing michelle liu|jayant madhavan,personal information management with semex.,2005,701388,conf/sigmod/CaiDHLM05,,,,,,phdthesis
dieter fensel|ying ding|borys omelayenko|ellen schulten|guy botquin|mike brown|alan flett,product data integration in b2b e-commerce.,2001,1984300,journals/expert/FenselDOSBBF01,ieee intelligent systems,international journal of data mining and bioinformatics (ijdmb),,,,article
james alfred walker|julian francis miller,predicting prime numbers using cartesian genetic programming.,2007,227588,conf/eurogp/WalkerM07,,,eurogp,the european symposium on artificial neural networks,,inproceedings
svetoslav genchev|pencho venkov|boris vidolov,trilateration analysis for movement planning in a group of mobile robots.,2008,40752,conf/aimsa/GenchevVV08,,,aimsa,high assurance systems,,phdthesis
cesar tadeu pozzer|luciana dos s. lima|alberto barbosa raposo|carlos j. g. vieira,a multi-user videoconference-based collaboration tool: design and implementation issues.,2005,144974,conf/cscwd/PozzerLRV05,,,,,,inproceedings
tim strayer|walter c. milliken|ronald j. watro|walt heimerdinger|steven a. harp|robert p. goldman|dustin spicuzza|beverly schwartz|david mankins|derrick kong|pieter mudge zatko,an architecture for scalable network defense.,2009,566329,conf/lcn/StrayerMWHHGSSMKZ09,,,lcn,personal wireless communications,,inproceedings
cong ling|xiaofu wu|kwok h. li|alex chichung kot,gallager bounds for noncoherent decoders in fading channels.,2007,2261360,journals/tit/LingWLK07,ieee transactions on information theory,international journal of ambient computing and intelligence (ijaci),,,,article
chunhua tian|xun zhang|wei ding 0002|rongzeng cao,epidemics alert & response framework and technology based on spreading dynamics simulation.,2006,784908,conf/wsc/TianZDC06,,,winter simulation conference,databases,,phdthesis
nathalie pavy|james j. johnson|john a. crow|charles paule|timothy m. kunau|john mackay|ernest f. retzel,foresttreedb: a database dedicated to the mining of tree transcriptomes.,2007,2159418,journals/nar/PavyJCPKMR07,nucleic acids research,international journal of ad hoc and ubiquitous computing (ijahuc),,,,article
martin müller|susumu nishimura,type inference for first-class messages with feature constraints.,2000,2027583,journals/ijfcs/MullerN00,int. j. found. comput. sci.,journal of information technology education,,,,article
massimo paolucci|katia p. sycara,semantic web services: current status and future directions.,2004,437808,conf/icws/PaolucciS04,,,,,,inproceedings
hyungjong kim|kyunghee koh|donghoon shin|honggeun kim,vulnerability assessment simulation for information infrastructure protection.,2002,476967,conf/infrasec/KimKSK02,,,infrasec,ieee international symposium on multiple valued logic,,inproceedings
hisao niwa|kazuhiro kayashima|yasuharu shimeki,postprocessing for character recognition using keyword information.,1992,845632,conf/mva/NiwaKS92,,,,,,inproceedings
mariano belaunde|mikael peltier,from edoc components to ccm components: a precise mapping specification.,2002,236248,conf/fase/BelaundeP02,,,fase,user interface software and technology,,inproceedings
xingming zhang|yingshan li|zihao pan|wenjin gu|jianfu chen,a biological intelligent access control system based on dsp and nir technology.,2008,367924,conf/icic/ZhangLPGC08,,,icic (1),symposium on access control models and technologies,,inproceedings
andreas brennecke|dieter engbring|reinhard keil-slawik|harald selke,"das lehren mit elektronischen medien lernen. erfahrungen, probleme und perspektiven bei multimediagestütztem lehren und lernen.",1997,2294922,journals/wi/BrenneckeEKS97,wirtschaftsinformatik,international journal of bioinformatics research and applications (ijbra),,,,inproceedings
mercan topkara|umut topkara|mikhail j. atallah|cüneyt m. taskiran|eugene t. lin|edward j. delp,a hierarchical protocol for increasing the stealthiness of steganographic methods.,2004,829495,conf/mmsec/TopkaraTATLD04,,,mm&sec,international workshop on inductive logic programming,,phdthesis
m. r. k. krishna rao|abdul sattar,learning linearly-moded programs from entailment.,1998,646188,conf/pricai/RaoS98,,,pricai,defect and fault tolerance in vlsi systems,,inproceedings
josé ramon méndez|florentino fdez-riverola|fernando díaz|eva lorenzo iglesias|juan m. corchado,a comparative performance study of feature selection methods for the anti-spam filtering domain.,2006,469842,conf/incdm/MendezFDIC06,,,industrial conference on data mining,workshop on database programming languages,,inproceedings
christian esposito|domenico cotroneo|massimo ficco,calibrating rss-based indoor positioning systems.,2009,869436,conf/wimob/EspositoCF09,,,,,,inproceedings
zheng guo|jie huang|bing wang|jun-hong cui|shengli zhou|peter willett,a practical joint network-channel coding scheme for reliable communication in wireless networks.,2009,594446,conf/mobihoc/GuoHWCZW09,,,,,,article
steven gordon|arek dadej,design of high capacity wireless lans based on 802.11b technology.,2002,478353,conf/interworking/GordonD02,,,interworking,international symposium on voronoi diagrams in science and engineering,,inproceedings
ania cravero|samuel sepúlveda|juan trujillo|jose-norberto mazón,el alineamiento de objetivos de la organización como propuesta para el análisis de requisitos en almacenes de datos.,2009,895055,conf/eig/CraveroSTM09,,,eig,journal of computer information systems,,inproceedings
xin luna dong|alon y. halevy|cong yu,data integration with uncertainty.,2007,754167,conf/vldb/DongHY07,,,vldb,logic in computer science,,inproceedings
peter michael goebel|ahmed nabil belbachir|michael truppe,blind background subtraction in dental panoramic x-ray images: an application approach.,2005,159706,conf/dagm/GoebelBT05,,,dagm symposium,international conference on parallel and distributed systems,,inproceedings
zhibo chen|zhengang nie|xiaodong gu|lihua zhu|charles wang,fast global motion estimation based on iteration least-square estimation with sustained symmetrical structure.,2006,504948,conf/iscas/ChenNGZW06,,,iscas,international conference on biometrics,,inproceedings
andras farago,finding dense subgraphs efficiently.,2005,238085,conf/fcs/Farago05,,,fcs,vector and parallel processing,,inproceedings
eleni e. mangina|john kilbride,evaluation of keyphrase extraction algorithm and tiling process for a document/resource recommender within e-learning environments.,2008,2390923,journals/ce/ManginaK08,computers & education,international journal of information quality (ijiq),,,,article
